(26304702, 139)
         product_module_code                 product_module_descr
60765                   7224       AIR SPECIALTY FRESHENERS SOLID
60921                   7462                               CIGARS
61362                   2615                       DINNERS FROZEN
61419                   2660                   BAKERY PIES FROZEN
61908                   1193                            OLIVE OIL
61929                   1539   SALAD DRESSING REDUCED LOW CALORIE
62292                   1205                SEAFOOD SALMON CANNED
62622                   1071   VEGETABLES CORN CREAM STYLE CANNED
62883                   8520               LIP REMEDIES REMAINING
62889                   1488                          GUM CHEWING
63087                   4011               BAKERY REMAINING FRESH
63105                   1433              TOPPINGS LIQUID AND DRY
63150                   3544               PRECUT FRESH SALAD MIX
63714                   1353                 CRACKERS FLAKED SODA
63726                   1352               CRACKERS SPRAYED FLAKE
63897                   1293             SOUP MIXES DRY AND BASES
64092                   1106                         TOMATO PUREE
64095                   1109                         TOMATO SAUCE
64248                   1332                  SNACKS CARAMEL CORN
64323                   1329                     POPCORN UNPOPPED
64377                   2688              FROZEN MEAT GROUND BEEF
64380                   1398         SALT COOKING EDIBLE SEASONED
64686                   1401                       SUGAR POWDERED
65088                   1460                          TEA INSTANT
65463                   7796    MILDEW REMOVERS AND PREVENTATIVES
65850                   7041                   DETERGENT BOOSTERS
65856                   7060              FABRIC SOFTENERS LIQUID
66072                   8528                   ADULT INCONTINENCE
66129                   1066     VEGETABLES BEANS GARBANZO CANNED
66180                   7229             RUG AND ROOM DEODORIZERS
66246                   7265                     SANITARY NAPKINS
66276                   3602    DAIRY DIP REFRIGERATED AND FROZEN
66528                   7415             MOTOR OIL FLUID AND LUBE
66534                   1107                TOMATOES WHOLE CANNED
66594                   7799                FOOTWEAR CARE PRODUCT
66606                   3603                  YOGURT REFRIGERATED
66861                   3578                    SAUSAGE BREAKFAST
68280                   1411                      SYRUP SPECIALTY
68319                   1471                   CORN POTATO STARCH
68349                   7752                  VARNISH AND SHELLAC
68910                   8457                  COSMETICS LIPSTICKS
68982                   2682      SEAFOOD SHRIMP UNBREADED FROZEN
69192                   3566                 PUDDING REFRIGERATED
69204                   1196                           SHORTENING
69423                   1139   SAUCE AND SEASONING MIX RMNNG MXCN
69426                   3554    CHEESE PROCESSED SLICES REMAINING
69456                   3550      CHEESE NATURAL AMERICAN CHEDDAR
69753                   2675                     FROZEN NOVELTIES
69771                   3604    DAIRY SOUR CREAM REFRIGERATED CND
